id,category,brand,name,description,price,unit,weight_kg,configs,features,in_stock,tier
h15,ram,Corsair,Corsair Vengeance 64GB DDR5 Kit,Large-capacity DDR5 memory for workstations and VMs.,169.99,kit,0.15,"1 kit|0,2 kits|160,4 kits|510","DDR5-5600, CL40, high-capacity, XMP 3.0",true,
h16,ssd,Samsung,Samsung 990 PRO 1TB,High-end PCIe 4.0 NVMe SSD for OS and apps.,119.99,drive,0.12,"Standard|0,With heatsink|15,With cloning kit|25","PCIe 4.0 x4, up to 7450 MB/s, NVMe 2.0, V-NAND",true,
h17,ssd,Samsung,Samsung 990 PRO 2TB,High-end PCIe 4.0 NVMe SSD for large libraries.,189.99,drive,0.12,"Standard|0,With heatsink|15,With cloning kit|25","PCIe 4.0 x4, up to 7450 MB/s, NVMe 2.0, V-NAND",true,
h18,ssd,Samsung,Samsung 990 PRO 4TB,High-capacity PCIe 4.0 NVMe SSD for media and datasets.,299.99,drive,0.12,"Standard|0,With heatsink|15,With cloning kit|25","PCIe 4.0 x4, up to 7450 MB/s, NVMe 2.0, V-NAND",true,
h19,ssd,WD,WD Black SN850X 1TB,Performance NVMe SSD for gaming and creative workloads.,89.99,drive,0.12,"Standard|0,With heatsink|15,With cloning kit|25","PCIe 4.0 x4, up to 7300 MB/s, Game Mode 2.0",true,
h20,ssd,WD,WD Black SN850X 2TB,Performance NVMe SSD for large storage needs.,159.99,drive,0.12,"Standard|0,With heatsink|15,With cloning kit|25","PCIe 4.0 x4, up to 7300 MB/s, Game Mode 2.0",true,
h21,ssd,WD,WD Black SN850X 4TB,High-capacity NVMe SSD for 4K video and large assets.,279.99,drive,0.12,"Standard|0,With heatsink|15,With cloning kit|25","PCIe 4.0 x4, up to 7300 MB/s, Game Mode 2.0",true,
h22,motherboard,ASUS,ASUS ProArt Z790-Creator,Creator-focused motherboard with dual Thunderbolt 4.,469.99,unit,1.6,"Standard|0,With WiFi antenna|15,With Thunderbolt card|80","Intel Z790, DDR5, 2x Thunderbolt 4, 10GbE, 5x M.2",true,
h23,motherboard,MSI,MSI MPG B650 Carbon WiFi,AM5 motherboard for Ryzen 7000 builds.,279.99,unit,1.6,"Standard|0,With WiFi antenna|15,With Thunderbolt card|80","AMD B650, DDR5, PCIe 4.0, Wi-Fi 6E, 4x M.2",true,
h24,motherboard,ASUS,ASUS TUF Gaming Z790-Plus,Reliable Intel motherboard for gaming and builds.,229.99,unit,1.6,"Standard|0,With WiFi antenna|15,With Thunderbolt card|80","Intel Z790, DDR5, PCIe 5.0, Wi-Fi 6, 4x M.2",true,
h25,case,NZXT,NZXT H7 Flow,ATX mid-tower case optimized for airflow and builds.,129.99,unit,11.0,"Black|0,White|15,With 3 extra fans|45","High airflow mesh, tempered glass, cable management, 7x fan mounts",true,
h26,case,Fractal,Fractal Design North,Premium ATX case with wood front panel and airflow.,159.99,unit,9.5,"Black|0,White|15,With 3 extra fans|45","Mesh front, wood accents, excellent airflow, 7x fan mounts",true,
h27,case,be quiet!,be quiet! Dark Base Pro 900,Full-tower workstation case with silence focus.,249.99,unit,14.0,"Black|0,White|15,With 3 extra fans|45","Modular design, sound dampening, PSU shroud, 9x fan mounts",true,
h28,psu,Corsair,Corsair RM1000x,1000W 80+ Gold fully modular ATX power supply.,189.99,unit,2.8,"Black|0,White|10,With custom cable kit|45","80+ Gold, fully modular, 135mm fan, 10-year warranty",true,
h29,psu,EVGA,EVGA SuperNOVA 850 GT,850W 80+ Gold fully modular power supply.,139.99,unit,2.8,"Black|0,White|10,With custom cable kit|45","80+ Gold, fully modular, ECO mode, 7-year warranty",true,
h30,psu,Corsair,Corsair RM1200x SHIFT,1200W 80+ Gold fully modular ATX power supply.,249.99,unit,3.0,"Black|0,White|10,With custom cable kit|45","80+ Gold, side-mounted connectors, 140mm fan, 10-year warranty",true,
h31,cooling,Noctua,Noctua NH-D15,Legendary dual-tower air CPU cooler.,109.99,unit,1.5,"Standard|0,With Chromax covers|20,With second fan|30","6 heatpipes, dual 140mm fans, 250W TDP, quiet",true,
h32,cooling,NZXT,NZXT Kraken 360,360mm AIO liquid cooler with LCD display.,249.99,unit,2.0,"Standard|0,With additional fans|40,With white housing|20","360mm radiator, RGB fans, CAM software, 6-year warranty",true,
h33,monitor,Dell,Dell UltraSharp U2723QE,27-inch 4K USB-C monitor for productivity.,579.99,unit,9.0,"Standard stand|0,Ergo arm|80,VESA mount adapter|25","4K UHD, IPS Black, USB-C 90W, KVM, 100% sRGB",true,
h34,monitor,LG,LG 27UN880-B,27-inch 4K Ergo monitor with adjustable arm.,449.99,unit,8.5,"Standard stand|0,Ergo arm|80,VESA mount adapter|25","4K UHD, IPS, USB-C 60W, Ergo arm, 99% sRGB",true,
h35,monitor,ASUS,ASUS ProArt PA279CV,27-inch 4K creator monitor with color accuracy.,499.99,unit,8.5,"Standard stand|0,Ergo arm|80,VESA mount adapter|25","4K UHD, IPS, 100% sRGB, Calman Verified, USB-C 65W",true,
h36,monitor,Dell,Dell UltraSharp U3223QE,32-inch 4K USB-C monitor for professionals.,879.99,unit,11.0,"Standard stand|0,Ergo arm|100,VESA mount adapter|25","4K UHD, IPS Black, USB-C 90W, KVM, 100% sRGB",true,
h37,monitor,Samsung,Samsung Odyssey Neo G7,32-inch 4K 165Hz gaming monitor.,999.99,unit,12.0,"Standard stand|0,Ergo arm|100,VESA mount adapter|25","4K UHD, 165Hz, Mini-LED, HDR2000, 1ms",true,
h38,touchscreen,Waveshare,Waveshare 7-inch Capacitive Touchscreen,7-inch IPS DSI capacitive touchscreen for Raspberry Pi and SBCs.,79.99,unit,0.5,"Standard|0,With case|15,With stylus|10","1024x600, 5-point touch, DSI interface, compatible with Pi 5",true,
h39,touchscreen,GeeekPi,GeeekPi 10.1-inch Capacitive Touchscreen,10.1-inch HDMI capacitive touchscreen with speakers.,99.99,unit,0.8,"Standard|0,With case|20,With stand|15","1280x800, HDMI, dual speakers, compatible with Pi 5",true,
h40,touchscreen,ELECROW,ELECROW 15.6-inch Touchscreen Monitor,15.6-inch portable IPS touchscreen monitor.,219.99,unit,1.2,"Standard|0,With stand|25,With case|20","1920x1080, HDMI/USB touch, IPS, compatible with Pi and PC",true,
h41,sbc,Raspberry Pi,Raspberry Pi 5 (4GB),Latest quad-core ARM SBC for projects and light desktop.,59.99,unit,0.08,"Board only|0,With active cooler|10,With case|15","Broadcom BCM2712, 4GB LPDDR4X, 2.4GHz quad-core, PCIe",true,
h42,sbc,Raspberry Pi,Raspberry Pi 5 (8GB),Latest quad-core ARM SBC with more memory.,79.99,unit,0.08,"Board only|0,With active cooler|10,With case|15","Broadcom BCM2712, 8GB LPDDR4X, 2.4GHz quad-core, PCIe",true,
h43,sbc,Raspberry Pi,Raspberry Pi 5 (16GB),Latest quad-core ARM SBC with max memory.,119.99,unit,0.08,"Board only|0,With active cooler|10,With case|15","Broadcom BCM2712, 16GB LPDDR4X, 2.4GHz quad-core, PCIe",true,
h44,sbc,Orange Pi,Orange Pi 6 (16GB),12-core ARM SBC with NPU and dual 5GbE.,224.99,unit,0.15,"Board with heatsink|0,With 256GB SSD|35,With case|20","CIX CD8180 12-core, 16GB LPDDR5, 45 TOPS AI, dual M.2",true,
h45,sbc,Orange Pi,Orange Pi 6 (32GB),12-core ARM SBC with NPU and dual 5GbE.,269.99,unit,0.15,"Board with heatsink|0,With 256GB SSD|35,With case|20","CIX CD8180 12-core, 32GB LPDDR5, 45 TOPS AI, dual M.2",true,
h46,sbc,Orange Pi,Orange Pi 6 (64GB),12-core ARM SBC with max memory and NPU.,349.99,unit,0.15,"Board with heatsink|0,With 256GB SSD|35,With case|20","CIX CD8180 12-core, 64GB LPDDR5, 45 TOPS AI, dual M.2",true,
h47,network,UniFi,UniFi Dream Machine Pro,All-in-one network appliance for home labs and SMBs.,379.99,unit,3.5,"Standard|0,With rackmount ears|15,With redundant PSU|120","10GbE WAN, 8x GbE LAN, UniFi OS, IDS/IPS, rackmount",true,
h48,network,ASUS,ASUS RT-AX86U Pro,High-performance Wi-Fi 6 router for home and office.,249.99,unit,1.0,"Standard|0,With wall mount|10,With extra antennas|15","Wi-Fi 6, 2.5GbE, gaming port, AiProtection Pro",true,
h49,network,UniFi,UniFi Switch Pro 24 PoE,24-port PoE switch for networking and IoT.,699.99,unit,5.5,"Standard|0,With rackmount ears|15,With redundant PSU|120","24x GbE PoE+, 2x SFP+, 400W budget, Layer 3",true,
h50,ups,APC,APC Back-UPS Pro 1500VA,1500VA UPS for workstation and network protection.,219.99,unit,13.0,"Standard|0,With network card|45,With extra battery|120","10 outlets, 1500VA/900W, AVR, LCD display, USB",true,
h51,ups,CyberPower,CyberPower CP1500PFCLCD,1500VA pure sine wave UPS for sensitive equipment.,249.99,unit,12.0,"Standard|0,With network card|45,With extra battery|120","10 outlets, 1500VA/1000W, pure sine wave, AVR",true,
h52,gadget,Logitech,Logitech MX Master 3S,Ergonomic wireless mouse for productivity.,99.99,unit,0.8,"Graphite|0,Pale Gray|0,Black|0","8000 DPI, silent clicks, MagSpeed wheel, multi-device",true,
h53,gadget,Keychron,Keychron Q1 Pro,Wireless mechanical keyboard for developers and writers.,199.99,unit,0.8,"Barebones|0,Fully assembled with switches|35,With lubed switches|55","75% layout, QMK/VIA, gasket mount, wireless",true,
h54,gadget,Anker,Anker 737 Power Bank,"240W 25,600mAh power bank for laptops and gadgets.",149.99,unit,0.6,"Black|0,Silver|0,With 100W cable|15","240W output, 3 ports, smart display, airline-safe",true,
h55,webcam,Logitech,Logitech Brio 4K,4K webcam for streaming and video conferencing.,149.99,unit,0.3,"Standard|0,With privacy shutter|10,With tripod|20","4K, HDR, Windows Hello, noise-reducing mics",true,
h56,audio,Audio-Technica,Audio-Technica AT2020USB+,Cardioid condenser USB microphone for recording.,169.99,unit,0.4,"Standard|0,With boom arm|60,With shock mount|45","Cardioid, 20-20kHz, USB, studio-quality vocal",true,
h57,audio,Sony,Sony MDR-7506,Studio standard closed-back headphones for monitoring.,99.99,unit,0.6,"Standard cable|0,Coiled cable|15,With carrying case|25","Closed-back, 40mm drivers, foldable, 3.5/6.3mm adapter",true,
h58,audio,Yamaha,Yamaha AG03MK2,3-channel USB mixer and audio interface for streamers.,179.99,unit,0.6,"Standard cable|0,Coiled cable|15,With carrying case|25","24-bit/192kHz, D-PRE preamp, loopback, USB-C",true,
h59,audio,Roland,Roland Rubix22,2-in/2-out USB audio interface for home studios.,169.99,unit,0.6,"Standard cable|0,Coiled cable|15,With carrying case|25","24-bit/192kHz, low latency, MIDI I/O, metal chassis",true,
h60,speaker,Audioengine,Audioengine A2+ Wireless,Compact powered desktop speakers with Bluetooth.,269.99,unit,2.0,"Standard|0,With stands|30,With subwoofer|150","60W, Bluetooth aptX, USB audio, DAC built-in",true,
h61,mini-pc,ASUS,ASUS NUC 14 Pro,Compact mini PC for home server and Docker/Kubernetes.,549.99,unit,1.5,"Barebone|0,16GB RAM / 512GB SSD|120,32GB RAM / 1TB SSD|280","Intel Core Ultra, 2.5GbE, dual M.2, Wi-Fi 7",true,
h62,mini-pc,Dell,Dell OptiPlex 7020 Micro,Micro desktop for home server and Proxmox.,649.99,unit,1.5,"Barebone|0,16GB RAM / 512GB SSD|120,32GB RAM / 1TB SSD|280","14th Gen Intel, 64GB DDR4, M.2 NVMe, 1GbE",true,
h63,mini-pc,Lenovo,Lenovo ThinkCentre M90q Gen 3,Enterprise 1L mini PC for dev workstations.,599.99,unit,1.5,"Barebone|0,16GB RAM / 512GB SSD|120,32GB RAM / 1TB SSD|280","12th Gen Intel vPro, dual M.2, 1GbE, Wi-Fi 6E",true,
cb01,custom-pc,ProLine,Foundation Workstation,"Intel Core i5-14600K, RTX 4060, 16GB DDR5, 1TB NVMe SSD, mid-tower case, 650W PSU, 27-inch 1080p monitor, ASUS Wi-Fi 6 router, 1500VA UPS, mechanical keyboard and mouse.",4499.0,build,18.0,"Standard|0,Pro: 32GB RAM + 2TB SSD|500,Elite: 32GB RAM + 2TB SSD + RTX 4070 SUPER|1400,Ultimate: 64GB RAM + 4TB SSD + RTX 4070 SUPER + dual monitors|2600","Custom assembled, tested, and ready for business productivity",true,Entry
cb02,custom-pc,ProLine,Essential Studio,"AMD Ryzen 5 7600X, RTX 4060 Ti, 16GB DDR5, 1TB NVMe SSD, Fractal case, 750W PSU, 27-inch 4K monitor, ASUS Wi-Fi 6 router, 1500VA UPS, studio headphones and mic.",4899.0,build,19.5,"Standard|0,Pro: 32GB RAM + 2TB SSD|500,Elite: 32GB RAM + 2TB SSD + RTX 4070 SUPER|1300,Ultimate: 64GB RAM + 4TB SSD + RTX 4070 Ti SUPER + dual monitors|2600",Creator starter kit with color-accurate display and audio gear,true,Entry
cb03,custom-pc,ProLine,Remote Office Pro,"Intel Core i7-14700K, RTX 4060, 32GB DDR5, 1TB NVMe SSD, NZXT case, 750W PSU, 32-inch 4K monitor, ASUS Wi-Fi 6 router, 1500VA UPS, webcam, keyboard and mouse.",5499.0,build,21.0,"Standard|0,Pro: 64GB RAM + 2TB SSD|700,Elite: 64GB RAM + 2TB SSD + RTX 4070 SUPER|1600,Ultimate: 64GB RAM + 4TB SSD + RTX 4070 SUPER + dual monitors|2800",Complete remote office setup with large 4K display,true,Entry
cb04,custom-pc,ProLine,Developer Workstation,"AMD Ryzen 7 7800X3D, RTX 4060 Ti, 32GB DDR5, 2TB NVMe SSD, be quiet! case, 850W PSU, dual 27-inch 4K monitors, ASUS Wi-Fi 6 router, 1500VA UPS, mechanical keyboard.",5899.0,build,22.0,"Standard|0,Pro: 64GB RAM + 4TB SSD|900,Elite: 64GB RAM + 4TB SSD + RTX 4070 SUPER|1900,Ultimate: 128GB RAM + 4TB SSD + RTX 4080 SUPER + triple monitors|4200",Dual-monitor coding rig with high-refresh productivity panels,true,Entry
cb05,custom-pc,ProLine,Content Review Suite,"Intel Core i7-14700K, RTX 4060 Ti, 32GB DDR5, 2TB NVMe SSD, Fractal case, 850W PSU, 32-inch 4K IPS Black monitor, UniFi Dream Machine Pro, 1500VA UPS, speakers.",6299.0,build,23.0,"Standard|0,Pro: 64GB RAM + 4TB SSD|900,Elite: 64GB RAM + 4TB SSD + RTX 4070 SUPER|1900,Ultimate: 128GB RAM + 4TB SSD + RTX 4070 Ti SUPER + dual monitors|3600",Video review and color-grading station with pro networking,true,Entry
cb06,custom-pc,ProLine,Small Business Server,"Intel Core i9-14900K, RTX 4060, 64GB DDR5, 2TB NVMe SSD + 4TB HDD, be quiet! case, 1000W PSU, 27-inch 4K monitor, UniFi Dream Machine Pro + 24-port PoE switch, 1500VA UPS.",6499.0,build,26.0,"Standard|0,Pro: 128GB RAM + 4TB SSD + 8TB HDD|1200,Elite: 128GB RAM + 4TB SSD + 8TB HDD + RTX 4070 SUPER|2400,Ultimate: 128GB RAM + 8TB SSD + 16TB HDD + dual monitors|4200",On-premise server and networking stack for small offices,true,Entry
cb07,custom-pc,StudioLine,Creator Pro Desk,"Intel Core i7-14700K, RTX 4070 SUPER, 32GB DDR5, 2TB NVMe SSD, NZXT case, 850W PSU, 32-inch 4K IPS monitor, ASUS Wi-Fi 6 router, 1500VA UPS, audio interface, mic and headphones.",6899.0,build,23.0,"Standard|0,Pro: 64GB RAM + 4TB SSD|900,Elite: 64GB RAM + 4TB SSD + RTX 4070 Ti SUPER|1800,Ultimate: 128GB RAM + 4TB SSD + RTX 4080 SUPER + dual monitors|3800",Podcasting and video editing setup with pro audio gear,true,Professional
cb08,custom-pc,StudioLine,3D Modeling Workstation,"AMD Ryzen 9 7950X, RTX 4070 SUPER, 64GB DDR5, 2TB NVMe SSD, be quiet! case, 1000W PSU, 32-inch 4K creator monitor, ASUS Wi-Fi 6 router, 1500VA UPS, 3D mouse and keyboard.",7499.0,build,25.0,"Standard|0,Pro: 128GB RAM + 4TB SSD|1200,Elite: 128GB RAM + 4TB SSD + RTX 4070 Ti SUPER|2100,Ultimate: 128GB RAM + 8TB SSD + RTX 4080 SUPER + dual monitors|4200","CAD, Blender, and Maya workstation with high core count CPU",true,Professional
cb09,custom-pc,StudioLine,Video Production Suite,"Intel Core i9-14900K, RTX 4070 Ti SUPER, 64GB DDR5, 4TB NVMe SSD, Fractal case, 1000W PSU, 32-inch 4K IPS Black monitor, UniFi Dream Machine Pro, 1500VA UPS, speakers.",7999.0,build,25.0,"Standard|0,Pro: 128GB RAM + 8TB SSD|1500,Elite: 128GB RAM + 8TB SSD + RTX 4080 SUPER|2600,Ultimate: 128GB RAM + 8TB SSD + RTX 4090 + dual monitors|5200",Premiere Pro and DaVinci Resolve editing suite with fast storage,true,Professional
cb10,custom-pc,StudioLine,Audio Production Suite,"AMD Ryzen 9 7950X, RTX 4070, 64GB DDR5, 2TB NVMe SSD, be quiet! case, 850W PSU, 27-inch 4K monitor, Yamaha USB mixer, studio mic, headphones, ASUS Wi-Fi 6 router, 1500VA UPS.",8299.0,build,24.0,"Standard|0,Pro: 128GB RAM + 4TB SSD|1200,Elite: 128GB RAM + 4TB SSD + RTX 4070 Ti SUPER|2100,Ultimate: 128GB RAM + 8TB SSD + RTX 4080 SUPER + dual monitors|4200",Music production and mixing station with pro audio interface,true,Professional
cb11,custom-pc,StudioLine,Design & Animation Studio,"Intel Core i9-14900K, RTX 4070 Ti SUPER, 64GB DDR5, 4TB NVMe SSD, NZXT case, 1000W PSU, dual 27-inch 4K creator monitors, ASUS Wi-Fi 6 router, 1500VA UPS, drawing tablet and keyboard.",8699.0,build,26.0,"Standard|0,Pro: 128GB RAM + 8TB SSD|1500,Elite: 128GB RAM + 8TB SSD + RTX 4080 SUPER|2600,Ultimate: 128GB RAM + 8TB SSD + RTX 4090 + dual monitors|5200",After Effects and Cinema 4D motion graphics workstation,true,Professional
cb12,custom-pc,StudioLine,Broadcast Workstation,"AMD Ryzen 9 7950X, RTX 4070 SUPER, 64GB DDR5, 4TB NVMe SSD, be quiet! case, 1000W PSU, 32-inch 4K 165Hz monitor, Elgato Stream Deck, UniFi Dream Machine Pro, 1500VA UPS.",8999.0,build,26.0,"Standard|0,Pro: 128GB RAM + 8TB SSD|1500,Elite: 128GB RAM + 8TB SSD + RTX 4070 Ti SUPER|2100,Ultimate: 128GB RAM + 8TB SSD + RTX 4080 SUPER + dual monitors|4200",Live streaming and broadcast control setup,true,Professional
cb13,custom-pc,EliteLine,AI Development Rig,"Intel Core i9-14900K, RTX 4080 SUPER, 64GB DDR5, 4TB NVMe SSD, NZXT case, 1200W PSU, 32-inch 4K monitor, ASUS Wi-Fi 6 router, 1500VA UPS, mechanical keyboard and mouse.",9299.0,build,27.0,"Standard|0,Pro: 128GB RAM + 8TB SSD|1500,Elite: 128GB RAM + 8TB SSD + RTX 4090|3200,Ultimate: 128GB RAM + 16TB SSD + RTX 4090 + dual monitors|5200",Local LLM training and inference workstation with 16GB GPU memory,true,Creator
cb14,custom-pc,EliteLine,Data Science Lab,"AMD Ryzen 9 7950X, RTX 4080 SUPER, 128GB DDR5, 4TB NVMe SSD, be quiet! case, 1200W PSU, dual 32-inch 4K monitors, UniFi Dream Machine Pro, 1500VA UPS, ergonomic keyboard.",9899.0,build,28.0,"Standard|0,Pro: 256GB RAM + 8TB SSD|2500,Elite: 256GB RAM + 8TB SSD + RTX 4090|4200,Ultimate: 256GB RAM + 16TB SSD + RTX 4090 + triple monitors|6500",Large dataset analysis and machine learning experimentation,true,Creator
cb15,custom-pc,EliteLine,Render Node,"Intel Core i9-14900K, RTX 4090, 64GB DDR5, 2TB NVMe SSD, be quiet! case, 1200W PSU, 27-inch 4K monitor, ASUS Wi-Fi 6 router, 1500VA UPS, compact keyboard.",10299.0,build,27.0,"Standard|0,Pro: 128GB RAM + 4TB SSD|1000,Elite: 128GB RAM + 4TB SSD + 2nd RTX 4090|2400,Ultimate: 128GB RAM + 8TB SSD + 2nd RTX 4090 + dual monitors|4200",Dedicated GPU rendering node for Blender and V-Ray,true,Creator
cb16,custom-pc,EliteLine,Financial Analysis Terminal,"Intel Core i9-14900K, RTX 4080 SUPER, 128GB DDR5, 4TB NVMe SSD, NZXT case, 1200W PSU, triple 27-inch 4K monitors, UniFi Dream Machine Pro, 1500VA UPS, Bloomberg-style keyboard.",10799.0,build,29.0,"Standard|0,Pro: 256GB RAM + 8TB SSD|2500,Elite: 256GB RAM + 8TB SSD + RTX 4090|4200,Ultimate: 256GB RAM + 16TB SSD + RTX 4090 + 4-monitor arm mount|6500",Multi-monitor data analysis and trading terminal,true,Creator
cb17,custom-pc,EliteLine,Engineering Workstation,"AMD Ryzen 9 7950X, RTX 4080 SUPER, 128GB DDR5, 4TB NVMe SSD, be quiet! case, 1200W PSU, 32-inch 4K monitor, ASUS Wi-Fi 6 router, 1500VA UPS, 3D mouse and keyboard.",11299.0,build,28.0,"Standard|0,Pro: 256GB RAM + 8TB SSD|2500,Elite: 256GB RAM + 8TB SSD + RTX 4090|4200,Ultimate: 256GB RAM + 16TB SSD + RTX 4090 + dual monitors|6500","SolidWorks, AutoCAD, and simulation workstation",true,Creator
cb18,custom-pc,EliteLine,Media Server & Studio,"Intel Core i9-14900K, RTX 4080 SUPER, 128GB DDR5, 8TB NVMe SSD, be quiet! case, 1200W PSU, 32-inch 4K monitor, UniFi Dream Machine Pro + 24-port PoE switch, 1500VA UPS, speakers.",11799.0,build,30.0,"Standard|0,Pro: 256GB RAM + 16TB SSD|3000,Elite: 256GB RAM + 16TB SSD + RTX 4090|4700,Ultimate: 256GB RAM + 32TB SSD + RTX 4090 + dual monitors|7000","Local NAS, media server, and editing workstation combined",true,Creator
cb19,custom-pc,WorkstationLine,AI Research Workstation,"Intel Core i9-14900K, RTX 4090, 128GB DDR5, 4TB NVMe SSD, NZXT case, 1200W PSU, 32-inch 4K monitor, ASUS Wi-Fi 6 router, 1500VA UPS, mechanical keyboard and mouse.",12299.0,build,28.0,"Standard|0,Pro: 256GB RAM + 8TB SSD|2500,Elite: 256GB RAM + 8TB SSD + 2nd RTX 4090|4200,Ultimate: 256GB RAM + 16TB SSD + 2nd RTX 4090 + dual monitors|6500",Deep learning research with dual-GPU upgrade option,true,High-End
cb20,custom-pc,WorkstationLine,Video Post Suite,"AMD Ryzen 9 7950X, RTX 4090, 128GB DDR5, 8TB NVMe SSD, be quiet! case, 1200W PSU, dual 32-inch 4K IPS Black monitors, UniFi Dream Machine Pro, 1500VA UPS, speakers.",12799.0,build,30.0,"Standard|0,Pro: 256GB RAM + 16TB SSD|3000,Elite: 256GB RAM + 16TB SSD + 2nd RTX 4090|4700,Ultimate: 256GB RAM + 32TB SSD + 2nd RTX 4090 + colorimeter|7000",Hollywood-grade video editing and color grading suite,true,High-End
cb21,custom-pc,WorkstationLine,Architectural Visualization,"Intel Core i9-14900K, RTX 4090, 128GB DDR5, 4TB NVMe SSD, NZXT case, 1200W PSU, 32-inch 4K creator monitor, ASUS Wi-Fi 6 router, 1500VA UPS, 3D mouse and keyboard.",13299.0,build,28.0,"Standard|0,Pro: 256GB RAM + 8TB SSD|2500,Elite: 256GB RAM + 8TB SSD + dual RTX 4090|4200,Ultimate: 256GB RAM + 16TB SSD + dual RTX 4090 + dual monitors|6500",Unreal Engine and Twinmotion architectural visualization,true,High-End
cb22,custom-pc,WorkstationLine,Medical Imaging Workstation,"AMD Ryzen 9 7950X, RTX 4090, 128GB DDR5, 8TB NVMe SSD, be quiet! case, 1200W PSU, 32-inch 4K IPS monitor, UniFi Dream Machine Pro, 1500VA UPS, dual monitors, medical-grade keyboard.",13799.0,build,30.0,"Standard|0,Pro: 256GB RAM + 16TB SSD|3000,Elite: 256GB RAM + 16TB SSD + 2nd RTX 5090|4700,Ultimate: 256GB RAM + 32TB SSD + 2nd RTX 4090 + 4K dual monitors|7000",DICOM image processing and 3D medical visualization,true,High-End
